prefill_chunk_size,kv_cache_size,batch_size,is_prefill,mean_ns,p50_ns,p90_ns,max_ns
0,38144,1,False,22454401.75004205,2836115.000036443,394817708.00011873,394817708.00011873
0,38400,1,False,20816739.85001089,2793464.4997458234,362922961.00009483,362922961.00009483
0,38656,1,False,21287240.349943206,2809724.9999063932,371940569.99987876,371940569.99987876
0,38912,1,False,20563212.950060006,2785725.0001943614,357925690.9997639,357925690.9997639
0,39168,1,False,20956510.350060854,2839679.500084458,364775481.0003789,364775481.0003789
0,39424,1,False,21396884.2499753,2840574.999936507,373579000.00006336,373579000.00006336
0,39680,1,False,21265790.249913152,2844814.4998947103,370773719.9997609,370773719.9997609
0,39936,1,False,21427896.249997504,2846540.000064124,374140200.0000562,374140200.0000562
0,40192,1,False,21571710.249963872,2868854.9998605596,376481899.0002823,376481899.0002823
0,40448,1,False,21456001.25004421,2862520.000007862,374230200.0000564,374230200.0000564
0,40704,1,False,21873397.300032593,2912539.4999027774,381757618.9999272,381757618.9999272
0,40960,1,False,21077605.64997534,2936894.00018593,365102530.0000583,365102530.0000583
0,41216,1,False,22314204.200029053,2919880.0002632197,390212608.0001835,390212608.0001835
0,41472,1,False,21974037.75003295,2923660.0000785985,383520938.99993634,383520938.99993634
0,41728,1,False,21627827.400016032,2926149.9998938236,376401859.9999872,376401859.9999872
0,41984,1,False,21737011.800018992,2937909.4999057995,378553230.00030696,378553230.00030696
0,42240,1,False,21553943.3500453,2973200.0000421978,374237059.9998139,374237059.9998139
0,42496,1,False,21713839.700009886,2973609.0000369586,377363719.0001864,377363719.0001864
0,42752,1,False,21758241.750035267,2994428.9999548346,377875019.0003848,377875019.0003848
0,43008,1,False,21054163.749977306,2965099.4997609816,364400701.0002497,364400701.0002497
0,43264,1,False,21958334.60002632,3016904.5001002816,381402068.9997051,381402068.9997051
0,43520,1,False,22098310.75003876,3017869.999894174,384179939.0002052,384179939.0002052
0,43776,1,False,22071690.199982185,3069824.5000166935,382698579.00013447,382698579.00013447
0,44032,1,False,21310146.200039525,3025604.9999479726,368391690.99994254,368391690.99994254
0,44288,1,False,21893511.150005907,3098205.0000147866,378757989.99994004,378757989.99994004
0,44544,1,False,21812515.25003063,3071579.9998688456,377434989.9999834,377434989.9999834
0,44800,1,False,22151942.75004251,3104600.0001424546,383686269.0000089,383686269.0000089
0,45056,1,False,22703027.60000504,3133818.999913274,394085378.9999892,394085378.9999892
0,45312,1,False,23323482.649993822,3113779.999921462,407005726.9996141,407005726.9996141
0,45568,1,False,27160760.29996657,3128704.5001135995,483454441.000049,483454441.000049
0,45824,1,False,22777425.049980592,3156329.5001433287,395162538.00002235,395162538.00002235
0,46080,1,False,22752648.19995755,3129514.499960351,395230178.0000198,395230178.0000198
0,46336,1,False,23351234.79995218,3151929.999830827,406663367.99995404,406663367.99995404
0,46592,1,False,23889263.599949118,3161319.999890111,417369796.99999213,417369796.99999213
0,46848,1,False,24241681.499961488,3181799.999993018,424090105.9997668,424090105.9997668
0,47104,1,False,23733469.650005646,3157919.500154094,414345056.0000019,414345056.0000019
0,47360,1,False,23681596.1500497,3224459.9999557976,411890407.00010085,411890407.00010085
0,47616,1,False,22774139.749981258,3195754.999978817,394398947.9998891,394398947.9998891
0,47872,1,False,24514558.899977602,3226588.999950764,428695354.9999453,428695354.9999453
0,48128,1,False,24573667.54999839,3221644.4999448867,429895644.9997604,429895644.9997604
0,48384,1,False,22573397.6499896,3262164.5000290303,389208748.00032836,389208748.00032836
0,48640,1,False,22464767.299948107,3267894.9999080943,386954809.0001444,386954809.0001444
0,48896,1,False,23248146.54994043,3283674.9999205493,402228616.9997642,402228616.9997642
