prefill_chunk_size,kv_cache_size,batch_size,is_prefill,mean_ns,p50_ns,p90_ns,max_ns
0,41472,4,False,85021019.00003254,3466499.000069234,410990047.0000412,410990047.0000412
0,41728,1,False,75916226.19997907,3014819.999862084,367396591.9999773,367396591.9999773
0,41728,2,False,83861833.20003511,4508770.000029472,401101277.9999419,401101277.9999419
0,41728,4,False,97266954.00004245,4265199.999963443,469024372.000149,469024372.000149
0,41984,1,False,76843265.80001652,2979919.0001540408,372077570.0001013,372077570.0001013
0,41984,2,False,86950205.0000392,4695950.000041193,416039166.00001866,416039166.00001866
0,41984,4,False,79061927.60005979,4172580.000158632,378381348.9999375,378381348.9999375
0,42240,1,False,79192361.80000553,3011329.999935697,383694320.0001315,383694320.0001315
0,42240,2,False,79099843.59998816,3703470.0001186137,380437928.9999815,380437928.9999815
0,42240,3,False,100869089.80010776,4248529.0000513485,486977271.0001143,486977271.0001143
0,42240,4,False,97577186.20003289,4393899.999968198,470158002.000062,470158002.000062
0,42496,1,False,80866517.20000191,3064509.000068938,391950938.00003636,391950938.00003636
0,42496,2,False,92005708.40002911,4186099.9999698834,443172164.00008875,443172164.00008875
0,42496,4,False,91974836.79995458,3926979.9999601673,443945144.99981594,443945144.99981594
0,42752,1,False,79576721.60014227,3034400.000160531,385520229.0001216,385520229.0001216
0,42752,2,False,81903737.39994356,3739959.999847997,394307627.99997866,394307627.99997866
0,42752,4,False,102678253.59997004,4409768.999948937,495578410.00000733,495578410.00000733
0,43008,1,False,74537499.99999672,3014969.9998673894,360296151.00005686,360296151.00005686
0,43008,2,False,91791544.39993909,4895139.000154814,438264063.9998954,438264063.9998954
0,43008,3,False,199452891.80004692,4194630.000029065,980231402.0000722,980231402.0000722
0,43008,4,False,90576640.79996356,4304339.99986235,435409724.9999995,435409724.9999995
0,43264,1,False,77374289.80003642,3067430.000101012,374399949.99999726,374399949.99999726
0,43264,2,False,87380587.19995934,3777338.999952917,421542396.9999392,421542396.9999392
0,43264,4,False,96918540.39997452,4418959.000076938,466534962.9999582,466534962.9999582
0,43520,1,False,77134957.79998994,3068759.999905524,373194730.0000229,373194730.0000229
0,43520,2,False,96460988.19994222,4208349.999998973,465150042.00000477,465150042.00000477
0,43520,4,False,87724980.80002151,4016169.9998861877,422380706.00001264,422380706.00001264
0,43776,1,False,80498849.6000533,3103960.0000895006,389855528.99998766,389855528.99998766
0,43776,2,False,83144437.39996022,3875730.0001179827,399908178.0000324,399908178.0000324
